"Datum";"Test reactie";"Volledig ingevuld";"Welk cijfer geef je je bezoek aan de Science Day?";"Wat vond je het leukste programma onderdeel en waarom?";"Wat vond je het minst leuke programma onderdeel en waarom?";"Met hoeveel personen heb je Science Day bezocht?";"Wat is de leeftijd van de personen met wie je Science Day hebben bezocht?";"Wat is de nationaliteit van de personen met wie je Science Day hebben bezocht?";"Waarom heb je Science Day bezocht? (meerdere antwoorden mogelijk)";"Heb je al eerder Science Day bezocht?";"Hoe ben je naar Science Day gekomen?";"Wat vond je van het parkeerbeleid?";"Via welk kanaal heb je van de Science Days gehoord?";"In welke mate zou je ons event aanraden aan een vriend of kennis?            ";"Wat zouden wij kunnen doen om de ervaring voor jou te verbeteren in de toekomst?";
"2023.10.23 20:13:21";"N";"Y";"6";"De Formule 5 auto. Daar stond een enthousiaste student bij waar we iets van hebben geleerd.";"Alles waar we vanwege de drukte niet bij konden, en dat was veel.";"4";"42, 40, 12 en 8";"Nederlands ";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Fietsend";;"familie, vrienden of kenissen";"Neutraal";"Entree rekenen of tijdslots om drukte te spreiden. Catering x5 in capaciteit, plek om gewoon water te kopen ipv flat whites.";
"2023.10.23 20:23:28";"N";"Y";"8";"Ik vond alles wel leuk om te doen. Het was leerzaam.";"N.v.t";"3";"10, 47 en 59 jaar";"Nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Graag op de zelfde voet doorgaan";
"2023.10.23 20:28:45";"N";"Y";"8";"Mini-bibberbot maken. Kijken of je m recht kon laten gaan. ";"De workshops. Toen we na 3 kwartier (dus 11.45) kaartjes wilden, was alles op en hadden degen die als eerste kwamen, 3 workshops en wij geen een. Een verdeling over tijd od maar 1 workshop pp zou eerlijker zijn. ";"2";"13-54";"Nl";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"De workshoprondes anders indelen zodat je ook, als je later bent (wij moesten en uur rijden) nog mee kunt doen en niet drie workshops naar 1 kind gaan";
"2023.10.23 20:40:50";"N";"Y";"8";"Gezichtsherkenning kleien. Wie houdt er nou niet van kleien? :)";"-";"5 of meer";"48, 12, 10 en 7";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek";"Nee";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"";
"2023.10.23 20:42:09";"N";"Y";"7";"fossielen onder de microscoop";"dreamteam loods";"4";"50, 48, 2x 11 jaar";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"meer limonade voor kids en gezonde eet mogelijkheden";
"2023.10.23 20:52:57";"N";"Y";"7";"D-Dream gedeelte";"Geotechniek";"2";"44, 13";"Nederlandse";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"anders, namelijk: Alumni Netwerk";"Waarschijnlijk wel";"Kies eens een andere faculteit; het is twee jaar hetzelfde. Graag bv. L&R of Natuurkunde die in de picture staat.";
"2023.10.23 21:10:08";"N";"Y";"9";"alles, van alles kan je dingen leren";"dat we geen microrobotje (tandenborstel) heb kunnen maken omdat de onderdelen op waren";"4";"48 -44-11-9";"nederlands";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, anders, namelijk: email";"Zeker weten";"in het eerste gebouw stonden heel veel dingen om te doen dicht bij elkaar, dit meer verspreiden over het terrein";
"2023.10.23 21:26:03";"N";"Y";"7";"DNA Uit aarbeien halen. Heel bijzonder. Kunnen we thuis niet doen. Passend bij interesse";"Micro tattoo maken Mega vlekzooi op twee armen. Terwijl het heel mooi was opgebracht. Ergens is er iets mis gegaan met henna weghalen. De workshopleider heeft het er afgehaald maar blijkbaar is het met grote vegen blijven zitten. Dat zie je niet met het  oog maar dat zou hij moeten weten. Napoetsen/spoelen volgende keer ?";"3";"8 10 45";"Nederlands ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Fijn met mensen om te gaan met dezelfde interesses. ";"Ja";"Auto";"Duidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), krant";"Zeker weten";"Minder rijen, meer eetgelegenheden, alleen duurzame speeltjes bij inleveren stempelkaart, duurzame materialen gebruiken, linkjes op de website naar waar de workshop etc over gaan zodat je beter kunt kiezen. ";
"2023.10.23 21:30:13";"N";"Y";"10";"Robot maken";"Mijn kinderen hebben van alles enorm genoten.";"3";"6, 9, 41";"Bulgaars";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.23 21:30:34";"N";"Y";"9";"Robot maken van tandenborstel en diertje maken";"";"2";"8";"Nederlands";"Het is in de buurt, Interesse in techniek";"Nee";"Fietsend";;"anders, namelijk: Cultuurbarbaren basisschool";"Zeker weten";"W8j kwamen 12 uur en alle tickets  waren al op";
"2023.10.23 22:03:11";"N";"Y";"7";"De workshop/doe activiteiten voor de kids";"Lego lezing, was niet voor kinderen. Te moeilijke woorden en verhaal. Sloot niet aan bij leefwereld kids. Tis een kunst om je kennis te vertalen naar het kinderbrein";"5 of meer";"Man en kinderen (11, 8 & 8)";"Nederlands";"Interesse in de TU Delft";"Nee";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Was voor ons niet duidelijk dat je tickets moest halen voor workshops, was al heel snel vol terwijl wij begonnen met verkennen van de campus, rondkijken en wilden daarna gericht kiezen. Maar dat was niet meer mogelijk terwijl we er relatief vroeg waren rond 12.45. ";
"2023.10.23 22:19:01";"N";"Y";"6";"mini robot bouwen";"de drukte";"2";"11, 44";"Nederlands";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"manier verzinnen om beter de onderdelen te verspreiden, het was op sommige plekken veel te druk";
"2023.10.23 22:24:28";"N";"Y";"10";"";"";"1";"30";"Brazilian";"Het is in de buurt, Interesse in de TU Delft";"Nee";"Lopend";;"reclameborden in de stad";"Zeker weten";"";
"2023.10.24 04:09:40";"N";"Y";"9";"De kleinschalige opzet van experimenten en onderzoek";"De friettent op het terrein had oud vet!";"4";"8";"Nl";"Het was een gratis evenement";"Nee";"Auto";;"familie, vrienden of kenissen";"Waarschijnlijk wel";"De friettent, was van een erg slechte kwaliteit. (oud vet) ";
"2023.10.24 05:09:15";"N";"Y";"8";"Mad Science Show";"Green Village ";"3";"8, 47 en 51";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Het systeem met toegangskaarten werkt echt heel goed. Dit voorkomt teleurstelling aan de deur van een workshop. De Mad Science shows zijn altijd heel populair. Deze waren nu in een hele grote collegezaal, waardoor het voor de scientist lastig was om alle kinderen erbij te betrekken. Hij was dus vaak een tijd door de zaal aan het lopen om ook achterin dingen te laten zien (en dan zaten de kinderen voorin 5 minuten naar een lege tafel te kijken). Meerdere shows op een dag en dan in een kleinere zaal zou fijn zijn. Ook begon de show bijna 20 minuten te laat, waardoor we voor andere workshops moesten haasten of te laat waren. Op tijd de deuren sluiten en dan helaas mensen die te laat zijn niet meer toelaten. Nu dupeer je de mensen die wel ruim op tijd op de locatie aanwezig waren (15 minuten vooraf) en dus in totaal 35 minuten hebben zitten wachten tot de show begon.";
"2023.10.24 06:47:37";"N";"Y";"10";"";"";"3";"6";"NL & US";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Neutraal";"reclameborden in de stad";"Zeker weten";"Thank you for the great event! We wish you could arrange it more often to promote science among kids";
"2023.10.24 07:46:13";"N";"Y";"7";"Mad science show, was een leuke show";"Er was niet echt iets niet leuk";"1";"8";"NL";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"Drinken was slecht verkrijgbaar. Dus volgende keer meer plekken waar drinken gekocht kan worden.";
"2023.10.24 08:13:57";"N";"Y";"8";"Dare, zelf een raket bouwen en lanceren";"BYOR, daarvoor was een ticket nodig en die waren al heel snel op";"2";"12 & 49";"Nederlands";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Fietsend";;"familie, vrienden of kenissen";"Zeker weten";"Wachtrijen voor tickets en populaire activiteiten verminderen";
"2023.10.24 08:26:30";"N";"Y";"5";"";"Dat alles binnen een half uur was volgeboekt en er geen mogelijkheden meer waren. Hierdoor heb ik kinderen moeten teleurstellen.";"5 of meer";"44, 43, 12, 11, 10 en 9";"Nederlandse ";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Wellicht";"Zorgen dat we voor iedereen mogelijkheden zijn om workshops te volgen. Het is bekend hoeveel mensen komen dan kan daarop worden geanticipeerd.";
"2023.10.24 08:41:18";"N";"Y";"6";"";"";"5 of meer";"4-6";"nederlands";"Anders, namelijk: onze kinderen zijn gek op wetenschap en techniek";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Waarschijnlijk wel";"duidelijker communiceren over de shows. Nu waren de kaarten al snel weg.";
"2023.10.24 09:03:46";"N";"Y";"10";"Micro robot bouwen, het beweegt! Kinderen waren/zijn er dol op!!";"Geen!";"3";"Bijna 7 en 8,5 jaar";"Nederlandse van Marokkaanse afkomst ";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"familie, vrienden of kenissen";"Zeker weten";"Tweedaags evenement en/of frequenter organiseren, het was te kort om alle activiteiten te doen in de 4 uur die wij er waren";
"2023.10.24 11:05:12";"N";"Y";"8";"Wateroverlast in de stad was leerrijk";"";"4";"43/5/9";"Nederlandse ";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.24 12:09:23";"N";"Y";"10";"All projects are very playful and also the staff and volunteers are all very friendly ";"One day is too short and too little choice for food. ";"3";"7";"Dutch and Chinese";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre, familie, vrienden of kenissen";"Zeker weten";"More food. ";
"2023.10.24 12:21:17";"N";"Y";"8";"";"";"3";"15";"ned";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Neutraal";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"meer publiciteit";
"2023.10.24 13:43:08";"N";"Y";"9";"Het maken van het mini robotje, omdat dit een leuke introductie was van iets technisch in elkaar zetten met snel/leuk resultaat.";"M’n dochter vond alles leuk en kan niets opnoemen";"3";"9 en 45";"Nederlands";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Het was goed zo";
"2023.10.24 15:33:13";"N";"Y";"9";"Alles met doen!";"geen";"4";"8+10 en ouders";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: alumni en werknemer";"Ja";"Auto";"Duidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre, social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter), familie, vrienden of kenissen";"Zeker weten";"Toepassen van simpele animaties voor uitleg (bijv lift vliegtuigvleugel). Show was ook erg leuk.";
"2023.10.24 16:26:36";"N";"Y";"6";"De stand met de stenen en mineralen bij CiTG";"De mad show, we hadden er meer van verwacht, hij begon bijna 20 minuten te laat, de kinderen vonden het een beetje saai en we hebben daardoor veel andere dingen niet kunnen doen.";"3";"8";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Waarschijnlijk wel";"Er was een mega lange rij voor de tickets voor de workshops en alles was vrij snel uitverkocht, waardoor we geen (besloten) workshops hebben kunnen doen. Ik miste ook informatie over welke workshops leuk zijn voor mijn kids. Er was superveel te doen, te veel voor 1 dag, en om dan een gericht plan te maken heb je meer info nodig. Ook kon de catering beter. Een friet-bus voor deze omvang is te weinig/weinig keus. ";
"2023.10.24 17:25:02";"N";"Y";"9";"Mad science show";"VR Room omdat kids te lang erin stonden waardoor de rij te lang was. ";"4";"39, 36, 9 en 6";"NL";"Het was een gratis evenement, Het is in de buurt, Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Kids met wetenschap in contact brengen";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Kinderen waren ontzettend enthousiast. Mogelijkheid om poffertjes te kopen ipv ruilen tegen afval.";
"2023.10.24 18:16:08";"N";"Y";"9";"Kindercollege: leven als Lego en gezicht kleien met software";"";;"";"";;;;;;;"";
"2023.10.24 18:19:08";"N";"Y";"9";"Kindercollege leven als Lego en gezicht kleien met software omdat ik dit echt dingen zijn waar je van leert";"De workshops want alle tickets waren snel op en daar was het druk";"3";"9, 11, 45";"Nederlands";"Interesse in techniek, Interesse in de TU Delft, Anders, namelijk: Interessant , inspirerend en leerzaam";"Ja";"Auto";"Duidelijk";"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Zeker weten";"Tickets workshops anders verdelen ";
"2023.10.24 19:16:09";"N";"Y";"8";"Waste bar! De opening van de diverse gebouwen, zodat ook ouders een leuke dag hadden :) Mad science show en de diverse workshops";"Drukte science center, te veel workshops te dicht op elkaar";"4";"4 7 38 37";"Nederlands";"Interesse in de TU Delft, Anders, namelijk: Beide ouders werken op de TU Delft en we weten hoe tof de activiteiten zijn die het science center organiseert";"Nee";"Fietsend";;"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Meer eetgelegenheden en betere spreiding bij de opening. Manier aanmelden voor workshops veranderen";
"2023.10.24 21:10:05";"N";"Y";"4";"kijkje in de gebouwen";"Het was te druk, er was chaos, materialen waren op en lagen overal verspreid op de grond, en begeleiders waren niet uitgerust om in deze drukte les te geven ";"4";"12 en 10 en 2 volwassenen";"NL";"Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"anders, namelijk: Cultuurbarbaren";"Niet";"Tijdsloten, kleine groepjes, voldoende materiaal en betere begeleiding";
"2023.10.24 21:41:58";"N";"Y";"9";"Mad science show, kids vonden t mega interessant ";"Auto bouwen, de pakketten waren al op";"4";"8, 13, 38, 44";"Nederlandse ";"Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Zeker weten";"Voldoende voorraad, en kenbaar maken bij entree dat er kaartjes voor de workshops gehaald moeten worden. Was ons niet verteld en daarom geen enkele kunnen doen helaas";
"2023.10.24 22:18:47";"N";"Y";"8";"Regenwaterdemonstratie in de Green Village";"";"3";"46, 15 en 11";"Nederlands/Engels";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"";
"2023.10.25 06:17:29";"N";"Y";"10";"Robot van tandenborstel";"Kaartjes waren vergeven";"2";"7 en 40";"Nl";"Het was een gratis evenement, Het is in de buurt";"Nee";"Auto";"Neutraal";"familie, vrienden of kenissen";"Zeker weten";"Het was echt zo goed geregeld, weinig wachttijd, veel uitleg en tijd ervoor. We komen zeker weten weer";
"2023.10.25 10:00:33";"N";"Y";"8";"Spektakelshow, dat vond mijn zoon het leukst. ";"Mijn leven als Lego. Dit was echt niks voor kleine kinderen. ";"3";"8 en 47";"Nederlands ";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"anders, namelijk: Via cultuurbarbaren ";"Waarschijnlijk wel";"Zo doorgaan";
"2023.10.25 10:06:03";"N";"Y";"8";"College micro organismen,  fantastische presentatie met veel interactie.  Zeer stimulerend voor kinderen om academische opleiding te doen.";"Eigenlijk geen stomme dingen gedaan";"4";"8,9 en 10 jaar (en 41 jaar)";"NL";"Interesse in techniek";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Workshop tickets al bij bestelling digitaal verdelen.  Was enorme wachtrij voor de tickets, zonde van de tijd en beperkend voor bezoeken doorlopende workshops in rood.";
"2023.10.25 10:52:29";"N";"Y";"7";"auto's maken in green village";"Drukte";"4";"4, 7, 38, 38";"Nederlandse";"Anders, namelijk: Werken allebei op de TU";"Nee";"Fietsend";;"social media kanalen TU Delft Science Centre (Facebook, Instagram, Twitter)";"Waarschijnlijk wel";"Het was erg druk. Dit is voor mensen die wat slechter tegen prikkels kunnen niet handig. Onze oudste heeft autisme en heeft interesse in techniek, alleen was het voor hem eigenlijk te druk. Wellicht kan daar iets voor gedaan worden? Ik denk dan aan een rustige ruimte, workshops die in een ander deel van het gebouw plaatsvinden en waar je van te voren voor moet reserveren. Een deel van de studenten aan de TU heeft ook autisme, de toekomstige studenten dus ook. Dus goed om daar ook in voorlichting al rekening mee te houden. ";
"2023.10.26 08:30:37";"N";"Y";"8";"Civiele techniek";"De gezichts herkenning ";"3";"8 en 60 jaar";"Nederland en Engels ";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"anders, namelijk: Via een ouder van basisschool van onze zoontje";"Zeker weten";"Meer eten en drinken foodtrucks (koffie/ thee en sappen). Echt te langen rijen en koffie was snel uitverkocht . ";
"2023.10.26 10:35:47";"N";"Y";"10";"Robots";"Nvt";"3";"11 77 78";"Nederlands";"Interesse in techniek";"Nee";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Alles was perfect in orde weet geen verbeterpunten";
"2023.10.26 22:04:44";"N";"Y";"9";"Alles wat wij gezien hebben";"Niets";"4";"39 37 13 8";"Nederlandse";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre, nieuwsbrief TU Delft Science Centre";"Zeker weten";"Een beter patatkraam, en miss gezond eten kraam zoals broodjes kraam verder was alles zeer interessant en goed georganiseerd";
"2023.10.28 18:48:22";"N";"Y";"8";"Robots maken ";"Meeste workshops waren snel vol";"2";"9 en 42";"Nederlands";"Interesse in techniek, Interesse in de TU Delft";"Nee";"Auto";"Duidelijk";"website TU Delft Science Centre";"Waarschijnlijk wel";"";
"2023.11.04 11:30:57";"N";"Y";;"workshops-do shops";"Lab sessies geen toegang vanwege vroeg uitgifte extra entree bewijzen: hopeloos";"3";" 10,11 en 75";"NL";"Interesse in techniek";"Nee";"Anders, namelijk: gebracht en gehaald";;"krant, anders, namelijk: DoZ";"Waarschijnlijk wel";"Beter en gericht uitgeven toegang tot lab projecten: met leeftijd controle!!";
"2023.11.11 11:11:35";"N";"Y";"10";"borsteltje met batterij; makkelijk te bouwen en leuke effect";"vieze water filteren en drinken; geen duidelijke uitleg hoe brein onderzoek helpt de zieke mensen ";"3";"43; 10; 9";"Nederlanders";"Het was een gratis evenement, Interesse in techniek, Interesse in de TU Delft";"Nee";"Openbaar vervoer";;"website TU Delft Science Centre";"Zeker weten";"online alvast aanmelden voor de activiteiten; geen lange wachtrijen";
"2023.12.14 12:27:15";"N";"Y";"8";"De workshop met onderwaterdieren, omdat de kinderen zelf iets konden maken en de begeleiders erg aardig waren";"De robotrace, omdat dit veel minder interactief was dan vorig jaar, toen had je er veel meer zicht op, omdat het'parcours' op de grond was";"4";"8,10, 49, 46";"NL";"Het is in de buurt, Interesse in techniek, Interesse in de TU Delft";"Ja";"Auto";"Duidelijk";"nieuwsbrief TU Delft Science Centre";"Zeker weten";"Nog meer horecapunten en laat mensen die vroeg komen kiezen uit de workshops. Zo zijn niet alle workshops al vol als je er niet meteen om 10.00 uur bent. Dus laat ze óf 1 workshop max. pp kiezen, of geef de tickets vrij in series.";
